,Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+,Year
1,2,Mike Hampton,HOU,110.0,11.0,69%,6.7,22,4,0.846,2.9,34,34,0,3,2,0,239.0,206,86,77,12,101,2,177,5,0,9,979,1.285,155,1999
2,3,Kevin Millwood,ATL,36.0,1.0,23%,6.2,18,7,0.72,2.68,33,33,0,2,0,0,228.0,168,80,68,24,59,2,205,4,0,5,906,0.996,167,1999
3,4,Jose Lima,HOU,3.0,0.0,2%,4.5,21,10,0.677,3.58,35,35,0,3,0,0,246.1,256,108,98,30,44,2,187,2,0,8,1024,1.218,125,1999
4,4,Billy Wagner,HOU,3.0,0.0,2%,3.8,4,1,0.8,1.57,66,0,55,0,0,39,74.2,35,14,13,5,23,1,124,1,0,2,286,0.777,287,1999
5,6,Kevin Brown,LAD,1.0,0.0,1%,6.2,18,9,0.667,3.0,35,35,0,5,1,0,252.1,210,99,84,19,59,1,221,7,1,4,1018,1.066,143,1999
6,6,Trevor Hoffman,SDP,1.0,0.0,1%,1.6,2,3,0.4,2.14,64,0,54,0,0,40,67.1,48,23,16,5,15,2,73,0,0,4,263,0.936,198,1999
0,1,Randy Johnson,ARI,133.0,22.0,83%,8.1,19,7,0.731,2.64,35,35,0,8,3,0,248.2,202,89,73,23,76,1,347,6,2,5,1001,1.118,181,2000
1,2,Tom Glavine,ATL,64.0,4.0,40%,4.9,21,9,0.7,3.4,35,35,0,4,2,0,241.0,222,101,91,24,65,6,152,4,0,0,992,1.191,135,2000
2,3,Greg Maddux,ATL,59.0,3.0,37%,6.5,19,9,0.679,3.0,35,35,0,6,3,0,249.1,225,91,83,19,42,12,190,10,2,1,1012,1.071,153,2000
3,4,Robb Nen,SFG,20.0,2.0,13%,2.5,4,3,0.571,1.5,68,0,63,0,0,41,66.0,37,15,11,4,19,1,92,2,0,5,256,0.848,286,2000
4,5,Darryl Kile,STL,8.0,1.0,5%,3.7,20,9,0.69,3.91,34,34,0,5,1,0,232.1,215,109,101,33,58,1,192,13,1,8,960,1.175,120,2000
5,6,Kevin Brown,LAD,4.0,0.0,3%,7.0,13,6,0.684,2.58,33,33,0,5,1,0,230.0,181,76,66,21,47,1,216,9,0,4,921,0.991,167,2000
0,1,Randy Johnson,ARI,156.0,30.0,98%,10.1,21,6,0.778,2.49,35,34,1,3,2,0,249.2,181,74,69,19,71,2,372,18,1,8,994,1.009,188,2001
1,2,Curt Schilling,ARI,98.0,2.0,61%,8.8,22,6,0.786,2.98,35,35,0,6,1,0,256.2,237,86,85,37,39,0,293,1,0,4,1021,1.075,157,2001
